step,direction,slope,cum_distance
10.303563556423759,-2.8116795580587968,0.0,10.303563556423759
10.303564684109512,-2.811679595784486,0.0,20.60712824053327
10.303565811088843,-2.8116796335263294,0.0,30.910694051622116
11.040571563519489,-2.554944088870332,0.0,41.95126561514161
11.040573274249068,-2.5549441929355634,0.0,52.99183888939068
14.826014500146197,-2.2381923532890795,0.0,67.81785338953688
14.82601687577386,-2.2381925627211787,0.0,82.64387026531074
11.133933199158628,-2.1328933646794384,0.0,93.77780346446937
11.13393425448249,-2.132893522123154,0.0,104.91173771895185
13.625531356665244,-1.9347406006066734,0.0,118.5372690756171
13.625532068833605,-1.9347407576276365,0.0,132.1628011444507
13.375070230988653,-1.6918816141271078,0.0,145.53787137543935
13.375070204536675,-1.6918816731844957,0.0,158.91294157997604
10.700574326477389,-1.5372418478571936,0.0,169.61351590645342
10.700574250655283,-1.537241834697703,0.0,180.3140901571087
10.700574174479726,-1.537241821250765,0.0,191.01466433158842
14.663906246528368,-1.2337289032113254,0.0,205.6785705781168
14.663906945946007,-1.23372874308768,0.0,220.3424775240628
13.312756445868413,-1.0631629520884844,0.0,233.6552339699312
13.312757723782656,-1.0631627690392214,0.0,246.96799169371386
13.203029027662897,-0.8574938035440578,0.0,260.17102072137675
13.20303106454594,-0.8574936207828767,0.0,273.3740517859227
11.040630321873296,-0.5866449884638376,0.0,284.414682107796
11.040632031192992,-0.5866448844276541,0.0,295.455314138989
12.12570180678329,-0.18464947848027224,0.0,307.5810159457723
12.12570275938495,-0.18464946370376192,0.0,319.7067187051573
12.12570371798675,-0.18464944888064352,0.0,331.83242242314407
10.70416959286623,-0.125131349955847,0.0,342.5365920160103
10.704170110096463,-0.1251313438230342,0.0,353.24076212610674
10.704170624856037,-0.12513133777537083,0.0,363.9449327509628
10.704171141027485,-0.12513133165898035,0.0,374.64910389199025
10.704171656140053,-0.12513132556209824,0.0,385.3532755481303
10.350390878392167,-0.10285454810643346,0.0,395.70366642652243
10.350391275338751,-0.1028545441565053,0.0,406.0540577018612
10.350391674049929,-0.10285454007045987,0.0,416.40444937591116
10.350392071349415,-0.10285453613581552,0.0,426.75484144726056
10.350392471825248,-0.10285453217061925,0.0,437.10523391908583
10.350392868771824,-0.10285452808458329,-0.09631574930238614,447.4556267878577
10.350393268541836,-0.10285452411765578,0.0,457.8060200563995
10.350393666900075,-0.10285452013371638,0.0,468.1564137232996
10.35039406737598,-0.10285451611575003,0.0,478.50680779067557
10.350394463969517,-0.10285451213181691,0.0,488.8572022546451
10.350394862680847,-0.10285450811385685,0.0,499.2075971173259
10.350395259627474,-0.10285450412819251,0.0,509.5579923769534
10.350395660456227,-0.10285450011197626,0.0,519.9083880374096
10.350396059873267,-0.10285449614507078,0.0,530.2587840972828
10.350396456819862,-0.10285449211010825,0.0,540.6091805541027
10.350396855178127,-0.10285448812619401,0.0,550.9595774092809
10.350397255653972,-0.10285448409123778,0.0,561.3099746649349
10.350397655423981,-0.10285448010732981,0.0,571.6603723203589
10.350398050605945,-0.10285447615571756,0.0,582.0107703709648
10.350398451081816,-0.10285447208847821,0.0,592.3611688220466
10.350398849793116,-0.1028544681045797,0.0,602.7115676718397
10.350399246739656,-0.10285446410366926,0.0,613.0619669185794
11.106162914228744,-0.14368910482321273,0.0,624.1681298328082
11.106163546434153,-0.14368909648288733,0.0,635.2742933792423
11.106164181109886,-0.14368908818990014,0.0,646.3804575603522
11.106164816138765,-0.14368907989284296,0.0,657.4866223764909
11.1061654486971,-0.1436890715881789,0.17817057702306013,668.592787825188
11.106166080902431,-0.14368906324789257,0.0,679.6989539060904
11.106166715225335,-0.1436890549549444,0.0,690.8051206213157
10.894623120699595,-0.10236804688800226,0.0,701.6997437420154
10.894623560792617,-0.10236804271615522,0.0,712.594367302808
10.894624000532678,-0.10236803854431162,0.0,723.4889913033406
18.55750145869078,0.12027271158926847,0.0,742.0464927620314
18.20217268847873,0.3106309110810505,0.0,760.2486654505102
16.638969940046724,0.5637377969222894,0.0,776.887635390557
15.487547956404718,0.7988511186080779,0.0,792.3751833469616
19.3907986384326,0.8387727129463025,0.0,811.7659819853942
12.81032398779149,1.1052104205645066,0.0,824.5763059731856
12.810322970703261,1.1052105908064052,0.0,837.3866289438889
12.810321953969325,1.1052107608235093,0.0,850.1969508978583
14.339334204015143,1.185468992574466,0.0,864.5362851018734
11.666862437611572,1.4783513206586032,0.0,876.203147539485
11.666862489456737,1.4783513601416793,0.0,887.8700100289418
13.320065765933721,1.6517396121738823,0.0,901.1900757948755
13.320065846386957,1.651739572367087,-0.074934133386594,914.5101416412624
13.320065927546315,1.6517395327889886,0.0,927.8302075688088
11.17370512269038,1.9151453014324633,0.0,939.0039126914992
11.173704697173013,1.9151451775286104,0.0,950.1776173886722
12.652741479953932,2.158365453140979,0.0,962.830358868626
12.652740025416405,2.1583652732473597,0.0,975.4830988940424
12.791001324597651,2.312480148535605,0.0,988.2741002186401
12.79099933273088,2.3124799747397105,0.0,1001.065099551371
17.566115685559232,2.610773139875232,0.0,1018.6312152369302
12.28163999817527,2.8975193860104773,0.0,1030.9128552351056
12.28163873932525,2.897519360355228,0.0,1043.1944939744308
12.281637483651469,2.8975193346486368,0.0,1055.4761314580821
10.772202644193518,2.994660770285641,0.0,1066.2483341022757
10.772202037595077,2.994660761950118,0.0,1077.0205361398707
10.772201427467358,2.9946607534101513,0.0,1087.792737567338
10.772200819104391,2.994660745058351,0.0,1098.5649383864425
10.772200208623707,2.9946607366159093,0.0,1109.337138595066
10.772199602025278,2.994660728166545,-0.18357284904631754,1120.1093381970913
10.772198990132901,2.994660719756598,0.0,1130.8815371872242
10.772198381416958,2.994660711383829,0.0,1141.6537355686412
10.772197773406832,2.994660702934435,0.0,1152.425933342048
10.77219716539683,2.9946606945082013,0.0,1163.1981305074448
10.772196555622022,2.99466068610756,0.0,1173.9703270630669
10.772195944788404,2.994660677681307,0.0,1184.7425230078552
10.09672731036796,3.0218555916356338,0.0,1194.839250318223
10.096726872404268,3.0218555863453895,0.0,1204.9359771906275
10.096726431617112,3.021855581053519,0.0,1215.0327036222445
10.096725993653454,3.021855575867721,0.0,1225.129429615898
10.096725551454428,3.021855570523613,0.0,1235.2261551673525
10.096725112785009,3.0218555652325394,0.0,1245.3228802801375
10.096724674468426,3.021855560011909,0.0,1255.419604954606
10.096724232622469,3.0218555546677868,0.0,1265.5163291872284
10.09672379395295,3.0218555494297377,0.0,1275.6130529811815
10.096723353518794,3.0218555441552435,0.0,1285.7097763347003
10.096722915908018,3.0218555388475474,0.0,1295.8064992506083
10.096722473709075,3.021855533642681,0.0,1305.9032217243175
10.613897042698278,3.0138809385217997,0.0,1316.5171187670157
10.613896525479813,3.013880932241794,0.0,1327.1310152924955
10.613896006849687,3.0138809259286927,0.0,1337.7449112993452
10.613895491396026,3.01388091963213,0.18624836739405595,1348.3588067907413
10.613894973824491,3.0138809133355604,0.0,1358.9727017645657
10.613894457664935,3.0138809070555292,0.0,1369.5865962222306
10.613893940093478,3.013880900725859,0.0,1380.200490162324
10.613893422169157,3.013880894429271,0.0,1390.8143835844933
10.613892904597837,3.0138808881823094,0.0,1401.428276489091
10.61389238808526,3.0138808818691647,0.0,1412.0421688771764
10.613891870866798,3.0138808755725575,0.0,1422.6560607480433
10.613891354707242,3.0138808692428554,0.0,1433.2699521027505
10.613890836782918,3.013880862995869,0.0,1443.8838429395335
10.613890319564476,3.0138808566330657,0.0,1454.497733259098
3.4345209350333037,-2.8116794130396023,0.0,1457.9322541941312
